,Name,Fed_AnceProportion,Fed_EduProportion,Fed_AgeAverage,Fed_ChildAverage,Fed_IncAverage,PartyAb
0,Banks,0.27346537957947165,0.49338271161202535,39.867943056660934,0.6066147210597931,646.4397576442198,LNP
1,Barton,0.18050123805336357,0.5374829333765302,38.58980515122764,0.5064506051419712,631.405045935251,ALP
2,Bennelong,0.2650874825390061,0.5984563297582688,38.84911333664796,0.5276653171390013,736.5733835262921,LNP
3,Berowra,0.43563101176859687,0.5326530331009013,40.47246644434033,0.6584695311854036,793.8207976187196,LNP
4,Blaxland,0.12327566954699283,0.42701551253199566,35.997921355070346,0.617867184323696,446.4889224831504,ALP
5,Bradfield,0.39687115837030656,0.6105297314837349,39.9289552015276,0.6122457894178508,873.4865929073765,LNP
6,Calare,0.5349911344220015,0.2949013626951357,40.36150479237188,0.7209078847846843,571.2186449924983,LNP
7,Chifley,0.2587955690769689,0.392710115561369,35.15042247928479,0.676848602343928,508.50987731458497,ALP
8,Cook,0.4467711779088163,0.4597871422407594,41.46598590536459,0.6400906083704876,778.0628865238027,LNP
9,Cowper,0.5641907583384592,0.29456697756744205,44.629618006301705,0.7739546327563048,521.1741002498085,LNP
10,Cunningham,0.48471177299669843,0.4123219698676157,40.17360552448498,0.6423758374576042,644.6545909731564,ALP
11,Dobell,0.5617377306686225,0.30312274848600895,41.09711611483614,0.7279359742443027,567.3044468821197,ALP
12,Eden-Monaro,0.5400116584876501,0.37286825908955346,41.99116123959548,0.6902502507930482,666.0921020524361,LNP
13,Farrer,0.5120532256785847,0.2776236271275331,41.56573017605698,0.7547093870631354,547.227422689214,LNP
14,Fowler,0.11498767010685908,0.3995433372910768,38.0410083112613,0.6652784120315401,455.8422382561574,ALP
15,Gilmore,0.5748728686808257,0.30564695715757634,45.83627480307109,0.7786153488217502,548.7060856848473,LNP
16,Grayndler,0.4383134689728052,0.5916302152306807,38.52876653691293,0.3975213023529569,915.1296868520674,ALP
17,Greenway,0.28296916527506644,0.4649551943928311,35.117629418820705,0.5868005738880918,644.0457640473222,ALP
18,Hughes,0.4874764360168552,0.4475146928365491,38.44245536704369,0.6418898314482147,754.7079452206698,LNP
19,Hume,0.531641032109026,0.3183154876097794,38.90130971900454,0.6894910483726426,637.2674136866632,LNP
20,Hunter,0.5601418403530702,0.2642797010127809,40.37198015255491,0.724272302864869,586.3148613485038,ALP
21,Kingsford Smith,0.3455728812020518,0.5704866312587952,37.860660946933585,0.4395796450133914,756.2813507195061,ALP
22,Lindsay,0.4565806145549971,0.33744678040197684,36.38986470662415,0.6484473989202952,614.8091600761438,LNP
23,Lyne,0.5706970030244707,0.25901154797910364,46.23858949683805,0.8148336541105307,518.2420263953808,LNP
24,Macarthur,0.3796568324898161,0.3630230835699296,35.75410443155166,0.6630354277249723,573.3077706455992,LNP
25,Mackellar,0.5587018108164488,0.4964503690943226,41.29929949464022,0.6324937587058483,801.7145894877093,LNP
26,Macquarie,0.5798106631033434,0.38756796119936937,40.50717260200366,0.6823339767111375,667.9247884276836,LNP
27,McMahon,0.19794564777877693,0.38798529846647795,37.0164818916456,0.6700423061371057,518.255007634417,ALP
28,Mitchell,0.35600521342456826,0.5183186705767351,37.72391658520691,0.6272401433691757,769.8274682306941,LNP
29,New England,0.5285140770622685,0.2977942368682185,41.302412006200264,0.7512630766536738,535.264484035619,LNP
30,Newcastle,0.5517394687117928,0.4279269560441716,39.378224113920325,0.5890525600036614,680.2797010768296,ALP
31,North Sydney,0.4332421188182561,0.6383509571333053,39.18866546147941,0.4663703226765063,1025.6475817835121,LNP
32,Page,0.5625962402659845,0.28364559698819036,43.595316359431074,0.7820900400359506,502.6521460400862,LNP
33,Parkes,0.4792677375300774,0.25661052220849323,40.386681407296614,0.7517851336411524,548.1124406581258,LNP
34,Parramatta,0.1767566175049913,0.5296794830510294,35.91995663467937,0.5121186749962431,604.4495073098474,ALP
35,Paterson,0.5675053973475892,0.2701243960111031,40.23076873650663,0.7228204996401768,571.7251272231931,ALP
36,Reid,0.21227260445444368,0.5933707202214539,37.888330107473514,0.4616122681930222,752.9413224370958,LNP
37,Richmond,0.5830711982787373,0.3467768832850482,44.76407845086357,0.7188560666008331,552.8503508576885,ALP
38,Riverina,0.5369022401951344,0.2843057962642018,40.86379100070608,0.778528788754092,555.1380062905193,LNP
39,Robertson,0.5790955911641591,0.37540444028260156,42.90096366850921,0.708551422441806,635.7345264467257,LNP
40,Shortland,0.5850238436355835,0.30785628759092765,42.170912840957065,0.7433815743028591,617.449803783144,ALP
41,Sydney,0.34954215976700853,0.6869202064152583,36.04956064322431,0.2088280988515279,910.3378726040195,ALP
42,Warringah,0.5661558092497319,0.5816580015475044,39.405194999117654,0.5201107687295533,983.893059307424,LNP
43,Watson,0.131482148884198,0.47721201096065946,36.9648240631096,0.5896216970716276,502.72586338075706,ALP
44,Wentworth,0.47204560403420304,0.6288505810129358,39.70216235474677,0.415547577285683,1050.1166479390483,LNP
45,Werriwa,0.17317706809591238,0.4004833066129919,35.2592653271389,0.6632651867108235,511.5914596327806,ALP
46,Whitlam,0.5361469914171827,0.3040628837478083,41.20172575698872,0.7385950972215838,584.2614968380822,ALP
