,Name,Ancestry_Proportion,Education_Proportion,Age_Average,Children_Average,Income_Average
0,Albury,0.5613468458731229,0.3065498518622128,41.462240758872376,1.9573386827148112,787.124060150376
1,Auburn,0.10292514972947428,0.49074618804671755,34.877515985610536,1.5039156371038422,690.8366787100227
2,Ballina,0.5807508085315429,0.3793752814508536,44.22735770527149,1.7802889829619004,789.4345572273375
3,Balmain,0.4735182545243676,0.6204363689081113,37.88943388020393,0.9168564920273349,1282.443970117396
4,Bankstown,0.13128171550171877,0.40959474311905153,36.48335009236957,1.8004353900640089,630.4609804609805
5,Barwon,0.4629845111576552,0.23007007472913918,41.60945620975875,2.16760147601476,767.9640061103686
6,Bathurst,0.5397077468847252,0.29523711947542997,40.84519037434525,1.92443060560473,796.6205026479098
7,Baulkham Hills,0.33096224794056706,0.5485167028857331,38.68550058118967,1.597761387163561,1032.3861651333411
8,Bega,0.5845264435086718,0.31378202840625224,47.718221397473414,2.020880503144654,694.1518862745841
9,Blacktown,0.25274211570474087,0.44328780243084853,36.39910610448544,1.689278704612365,756.8221728387388
10,Blue Mountains,0.6163918797667115,0.44376682368775233,42.37795816509646,1.705629357289029,892.0461932799643
11,Cabramatta,0.09809627446904765,0.39990463032022205,38.08092973210901,1.7755891885088575,593.8943558880937
12,Camden,0.44694238487177745,0.35156338571072265,35.386141532322064,1.738793768317137,949.7932920453632
13,Campbelltown,0.4072650710906485,0.3420975863424781,36.56767246299608,1.8541912832112353,754.1212974274534
14,Canterbury,0.1545907990864986,0.4965289218638156,39.13251451490121,1.453624295112782,759.1700234473636
15,Castle Hill,0.3804852994600824,0.5096897039848672,37.20157340248287,1.686246183143448,1058.6253117735887
16,Cessnock,0.5509322686290627,0.23120783914614892,38.622538849962815,1.8866380989481886,773.3675684702739
17,Charlestown,0.5810718896184117,0.36413986479921157,40.884565733401814,1.7748413639216234,882.5018840872746
18,Clarence,0.5564881446314157,0.24053543007168995,44.7456163023221,2.1332224031721307,648.4253574939258
19,Coffs Harbour,0.5560871293643505,0.31648137740064974,42.59935023098329,1.921879412595312,737.7870514674127
20,Coogee,0.48960525208315797,0.6093161951254704,38.30443565356452,0.9837336344492935,1314.2482247607286
21,Cootamundra,0.5317832913085271,0.2365183957204352,43.23885878272014,2.2484006510958854,726.3403494837172
22,Cronulla,0.5544508795963486,0.45999430330815033,40.46753563823294,1.6229406919275124,1106.1130634345752
