,Name,Proportion
0,Albury,0.3065498518622128
1,Auburn,0.49074618804671755
2,Ballina,0.3793752814508536
3,Balmain,0.6204363689081113
4,Bankstown,0.40959474311905153
5,Barwon,0.23007007472913918
6,Bathurst,0.29523711947542997
7,Baulkham Hills,0.5485167028857331
8,Bega,0.31378202840625224
9,Blacktown,0.44328780243084853
10,Blue Mountains,0.44376682368775233
11,Cabramatta,0.39990463032022205
12,Camden,0.35156338571072265
13,Campbelltown,0.3420975863424781
14,Canterbury,0.4965289218638156
15,Castle Hill,0.5096897039848672
16,Cessnock,0.23120783914614892
17,Charlestown,0.36413986479921157
18,Clarence,0.24053543007168995
19,Coffs Harbour,0.31648137740064974
20,Coogee,0.6093161951254704
21,Cootamundra,0.2365183957204352
22,Cronulla,0.45999430330815033
23,Davidson,0.5820784959832432
24,Drummoyne,0.5640616626995502
25,Dubbo,0.28348657402570265
26,East Hills,0.4220311590923783
27,Epping,0.6036156637057425
28,Fairfield,0.380914608911574
29,Gosford,0.3556455325948596
30,Goulburn,0.33773741800087115
31,Granville,0.4539454176047444
32,Hawkesbury,0.3270572958935238
33,Heathcote,0.43049445137566483
34,Heffron,0.6546949663205972
35,Holsworthy,0.4210719617088833
36,Hornsby,0.5336108931689909
37,Keira,0.4071621759542764
38,Kiama,0.32707199371527973
39,Kogarah,0.5610657966286025
40,Ku-ring-gai,0.6024082869002655
41,Lake Macquarie,0.30371037413290936
42,Lakemba,0.43479399727148704
43,Lane Cove,0.5880571868094302
44,Lismore,0.3078223472451381
45,Liverpool,0.39042508833146794
46,Londonderry,0.3017817857065063
47,Macquarie Fields,0.406720392756241
48,Maitland,0.2910528020732102
49,Manly,0.5721630874572051
50,Maroubra,0.49984090853464525
51,Miranda,0.45624443785226937
52,Monaro,0.41910362155833564
53,Mount Druitt,0.3969678182945387
54,Mulgoa,0.3852701656983528
55,Murray,0.2531118830510928
56,Myall Lakes,0.24738612217328287
57,Newcastle,0.4516583643797006
58,Newtown,0.6693601170996418
59,North Shore,0.6736035616296526
60,Northern Tablelands,0.3171125694093892
61,Oatley,0.511301248706089
62,Orange,0.2964531905880541
63,Oxley,0.25254314072731765
64,Parramatta,0.5570161313932722
65,Penrith,0.35480390912552356
66,Pittwater,0.5001387193430252
67,Port Macquarie,0.304954258912333
68,Port Stephens,0.2807509106192211
69,Prospect,0.4239650509673393
70,Riverstone,0.4784224700095702
71,Rockdale,0.524885145482389
72,Ryde,0.6177619052741413
73,Seven Hills,0.4773634285849626
74,Shellharbour,0.281837546326508
75,South Coast,0.2709085417595536
76,Strathfield,0.6106871853814799
77,Summer Hill,0.5740160394818014
78,Swansea,0.2698005218415958
79,Sydney,0.6796837736078833
80,Tamworth,0.27613199709211755
81,Terrigal,0.40071915888489357
82,The Entrance,0.32582115913851883
83,Tweed,0.32186141786047245
84,Upper Hunter,0.25328690402107856
85,Vaucluse,0.630581629967541
86,Wagga Wagga,0.32896043485078136
87,Wakehurst,0.4940779411207038
88,Wallsend,0.37706561699283303
89,Willoughby,0.6256956890859353
90,Wollondilly,0.3316168483726918
91,Wollongong,0.38935824043386563
92,Wyong,0.27306784890202485
