,Name,Proportion
0,Albury,0.5613468458731229
1,Auburn,0.10292514972947428
2,Ballina,0.5807508085315429
3,Balmain,0.4735182545243676
4,Bankstown,0.13128171550171877
5,Barwon,0.4629845111576552
6,Bathurst,0.5397077468847252
7,Baulkham Hills,0.33096224794056706
8,Bega,0.5845264435086718
9,Blacktown,0.25274211570474087
10,Blue Mountains,0.6163918797667115
11,Cabramatta,0.09809627446904765
12,Camden,0.44694238487177745
13,Campbelltown,0.4072650710906485
14,Canterbury,0.1545907990864986
15,Castle Hill,0.3804852994600824
16,Cessnock,0.5509322686290627
17,Charlestown,0.5810718896184117
18,Clarence,0.5564881446314157
19,Coffs Harbour,0.5560871293643505
20,Coogee,0.48960525208315797
21,Cootamundra,0.5317832913085271
22,Cronulla,0.5544508795963486
23,Davidson,0.4576675990140108
24,Drummoyne,0.30035018630908616
25,Dubbo,0.5044274370494202
26,East Hills,0.27981123537397373
27,Epping,0.3071437507819342
28,Fairfield,0.11341794270474088
29,Gosford,0.5545730303604799
30,Goulburn,0.5626889114739385
31,Granville,0.14189226291801657
32,Hawkesbury,0.528756154303955
33,Heathcote,0.5520520060411058
34,Heffron,0.29693527029879674
35,Holsworthy,0.2515224036205957
36,Hornsby,0.45510111108298956
37,Keira,0.5269953051643192
38,Kiama,0.5764968295830761
39,Kogarah,0.14348015225666122
40,Ku-ring-gai,0.42636151727060817
41,Lake Macquarie,0.5874125874125874
42,Lakemba,0.1032469304229195
43,Lane Cove,0.41338347149816257
44,Lismore,0.5624002596629791
45,Liverpool,0.14755195645971866
46,Londonderry,0.38623145788407504
47,Macquarie Fields,0.3001134732064286
48,Maitland,0.5712860382248137
49,Manly,0.5867413632119515
50,Maroubra,0.34449421151822207
51,Miranda,0.4632426309970066
52,Monaro,0.5157662101898259
53,Mount Druitt,0.24088372879445416
54,Mulgoa,0.33459029884662156
55,Murray,0.46557630144256285
56,Myall Lakes,0.5637392173142142
57,Newcastle,0.5776856851828596
58,Newtown,0.4301388773190846
59,North Shore,0.5147279598281307
60,Northern Tablelands,0.5191822311963654
61,Oatley,0.2940945242993226
62,Orange,0.5379006687975764
63,Oxley,0.5462844748294277
64,Parramatta,0.20632178860360492
65,Penrith,0.513021957101155
66,Pittwater,0.6078681611363889
67,Port Macquarie,0.5969998222319463
68,Port Stephens,0.569627346595685
69,Prospect,0.1832743915123778
70,Riverstone,0.28712915359106184
71,Rockdale,0.2057752099865423
72,Ryde,0.23389950840657037
73,Seven Hills,0.3113224305152588
74,Shellharbour,0.5284977283081128
75,South Coast,0.5651167138891685
76,Strathfield,0.15986079627087257
77,Summer Hill,0.33072177668106106
78,Swansea,0.5896248912830009
79,Sydney,0.36254401899793987
80,Tamworth,0.520744625610136
81,Terrigal,0.6069372855170151
82,The Entrance,0.5749003929515177
83,Tweed,0.5912260199325079
84,Upper Hunter,0.53378262078462
85,Vaucluse,0.438672565262617
86,Wagga Wagga,0.543929336748027
87,Wakehurst,0.5042155958084211
88,Wallsend,0.5283647121442806
89,Willoughby,0.39150787661541364
90,Wollondilly,0.5461104182591088
91,Wollongong,0.4138957517324495
92,Wyong,0.5453579113842005
