,Name,Proportion
1,Banks,0.27346537957947165
2,Barton,0.18050123805336357
3,Bennelong,0.2650874825390061
4,Berowra,0.43563101176859687
5,Blaxland,0.12327566954699283
6,Bradfield,0.39687115837030656
7,Calare,0.5349911344220015
8,Chifley,0.2587955690769689
9,Cook,0.4467711779088163
10,Cowper,0.5641907583384592
11,Cunningham,0.48471177299669843
12,Dobell,0.5617377306686225
13,Eden-Monaro,0.5400116584876501
14,Farrer,0.5120532256785847
15,Fowler,0.11498767010685908
16,Gilmore,0.5748728686808257
17,Grayndler,0.4383134689728052
18,Greenway,0.28296916527506644
19,Hughes,0.4874764360168552
20,Hume,0.531641032109026
21,Hunter,0.5601418403530702
22,Kingsford Smith,0.3455728812020518
23,Lindsay,0.4565806145549971
24,Lyne,0.5706970030244707
25,Macarthur,0.3796568324898161
26,Mackellar,0.5587018108164488
27,Macquarie,0.5798106631033434
28,McMahon,0.19794564777877693
29,Mitchell,0.35600521342456826
30,New England,0.5285140770622685
31,Newcastle,0.5517394687117928
32,North Sydney,0.4332421188182561
33,Page,0.5625962402659845
34,Parkes,0.4792677375300774
35,Parramatta,0.1767566175049913
36,Paterson,0.5675053973475892
37,Reid,0.21227260445444368
38,Richmond,0.5830711982787373
39,Riverina,0.5369022401951344
40,Robertson,0.5790955911641591
41,Shortland,0.5850238436355835
42,Sydney,0.34954215976700853
43,Warringah,0.5661558092497319
44,Watson,0.131482148884198
45,Wentworth,0.47204560403420304
46,Werriwa,0.17317706809591238
47,Whitlam,0.5361469914171827
